,dispersions,dispersions_norm,highly_variable,means,n_cells,var_names
19979,2.278663024075391,-0.04258014261722565,0,0.30678510689194227,17159,ZFX
19980,2.338097760094577,0.0790492594242096,0,0.14379911652834462,6902,ZFY
19981,2.148179542949386,-0.30960628390312195,0,0.008876533681830013,666,ZFY-AS1
19982,2.1318540751031563,-0.34301531314849854,0,0.07760164970752882,5403,ZFYVE1
19983,2.3596774793579254,0.12321078032255173,0,0.3070176262551298,19766,ZFYVE16
19984,2.108680646178069,-0.3904382586479187,0,0.2378864684225594,17727,ZFYVE19
19985,2.1622438689827983,-0.2808245122432709,0,0.36034181390247444,26972,ZFYVE21
19986,2.024664864382688,-0.5623711943626404,0,0.08301183840808904,7203,ZFYVE26
19987,2.281001292186213,-0.03779502585530281,0,0.1944339126418143,10102,ZFYVE27
19988,2.4935840205380977,0.3972419798374176,0,0.2710747575569347,10394,ZFYVE28
19989,2.2984580786891735,-0.0020708227530121803,0,0.038499094198530225,2924,ZFYVE9
19990,2.2910482432989467,-0.017234578728675842,0,0.001594996713369859,187,ZG16
19991,6.402046616334037,8.395661354064941,1,0.33393272400268287,8349,ZG16B
19992,2.1034450993555796,-0.40115246176719666,0,0.06178554173413386,4904,ZGLP1
19993,2.4641624189016302,0.3370325565338135,0,0.005061944419369921,231,ZGPAT
19994,2.3337735215694915,0.07019998133182526,0,0.024444299689528808,1423,ZGRF1
19995,2.1134309192522065,-0.38071712851524353,0,0.2658970129937406,19296,ZHX1
19996,2.1736349245091535,-0.25751346349716187,0,0.03924407116713244,2516,ZHX1-C8orf76
19997,2.2528465267637965,-0.09541195631027222,0,0.1466852674540826,6885,ZHX2
19998,2.098558594344155,-0.4111523926258087,0,0.05337767572303953,4439,ZHX3
19999,2.4839696741848027,0.3775668442249298,0,0.008519042932555973,452,ZIC1
20000,1.7607717390677324,-1.1024116277694702,0,0.0057605582700681135,725,ZIC2
20001,2.0250963288362174,-0.5614882111549377,0,0.002097559927532328,184,ZIC4
20002,1.0300927500406862,-2.5976996421813965,0,0.0009416410893269753,166,ZIC5
20003,2.2914200090391055,-0.016473783180117607,0,0.04061636395995497,1959,ZIK1
20004,2.35815066881159,-0.29374784231185913,0,0.4863174252481388,29175,ZKSCAN1
20005,2.189285115681287,-0.22548633813858032,0,0.034836172708445294,2250,ZKSCAN2
